iter	Passed	Remaining
178	439	2016
179	440	2007
180	441	1996
181	442	1988
182	443	1979
183	444	1971
184	445	1963
185	446	1955
186	448	1947
187	449	1939
188	450	1931
189	451	1922
190	452	1914
191	453	1907
192	454	1899
193	455	1891
194	456	1883
195	457	1875
196	458	1867
197	459	1860
198	460	1853
199	461	1846
200	462	1838
201	463	1831
202	464	1824
203	465	1817
204	467	1811
205	468	1804
206	469	1797
207	470	1791
208	471	1784
209	472	1778
210	473	1772
211	474	1764
212	475	1758
213	477	1752
214	478	1746
215	479	1741
216	481	1735
217	482	1730
218	483	1724
219	484	1718
220	486	1713
221	487	1708
222	488	1702
223	490	1697
224	491	1692
225	492	1686
226	493	1680
227	494	1674
228	495	1668
229	496	1663
230	498	1657
231	499	1652
232	500	1646
233	501	1642
234	502	1637
235	504	1632
236	505	1627
237	506	1622
238	507	1616
239	508	1611
240	509	1605
241	511	1600
242	512	1596
243	514	1592
244	515	1587
245	516	1582
246	517	1577
247	518	1572
248	519	1568
249	521	1563
250	522	1558
251	523	1553
252	524	1549
253	525	1544
254	526	1539
255	528	1534
256	529	1530
257	530	1525
258	531	1520
259	532	1515
260	533	1511
261	535	1507
262	536	1502
263	537	1497
264	538	1493
265	539	1489
266	541	1485
267	542	1480
268	543	1476
269	544	1472
270	545	1468
271	547	1464
272	548	1459
273	549	1455
274	550	1451
275	551	1447
276	552	1442
277	554	1438
278	555	1434
279	556	1431
280	558	1427
281	559	1423
282	560	1421
283	562	1417
284	563	1413
285	564	1409
286	565	1405
287	566	1401
288	567	1397
289	569	1393
290	570	1389
291	571	1385
292	572	1381
293	573	1377
294	574	1373
295	576	1370
296	577	1366
297	578	1362
298	579	1359
299	580	1355
300	582	1351
301	583	1348
302	584	1344
303	585	1340
304	586	1337
305	588	1333
306	589	1330
307	590	1326
308	591	1322
309	592	1319
310	593	1315
311	595	1312
312	596	1308
313	597	1305
314	598	1301
315	599	1297
316	600	1294
317	601	1290
318	603	1287
319	604	1283
320	605	1280
321	606	1277
322	607	1273
323	608	1270
324	610	1267
325	611	1263
326	612	1260
327	613	1257
328	615	1254
329	616	1251
330	617	1248
331	618	1244
332	620	1241
333	621	1238
334	622	1235
335	623	1232
336	624	1229
337	625	1226
338	627	1223
339	628	1219
340	629	1216
341	630	1213
342	631	1210
343	632	1206
344	633	1203
345	635	1200
346	636	1197
347	637	1194
348	638	1191
349	639	1188
350	640	1185
351	642	1182
352	643	1179
353	644	1176
354	645	1173
355	646	1170
356	648	1167
357	649	1164
358	650	1161
359	651	1158
360	652	1155
361	653	1152
362	655	1150
363	656	1147
364	657	1144
365	659	1141
366	660	1138
367	661	1135
368	662	1132
369	663	1129
370	664	1126
371	665	1123
372	666	1120
373	668	1118
374	669	1115
375	670	1112
376	671	1109
377	672	1106
378	673	1104
379	675	1101
380	676	1099
381	677	1096
382	678	1093
383	679	1090
384	681	1088
385	682	1085
386	683	1082
387	685	1081
388	687	1079
389	688	1076
390	689	1073
391	690	1070
392	691	1068
393	692	1065
394	693	1062
395	695	1060
396	696	1057
397	697	1055
398	698	1052
399	699	1049
400	700	1046
401	702	1044
402	703	1041
403	704	1039
404	705	1036
405	706	1034
406	708	1031
407	709	1028
408	710	1026
409	711	1023
410	712	1021
411	713	1018
412	715	1016
413	716	1014
414	717	1011
415	718	1009
416	719	1006
417	721	1004
418	722	1001
419	723	999
420	724	996
421	725	994
422	727	992
423	728	989
424	729	987
425	730	984
426	731	982
427	733	979
428	734	977
429	735	974
430	736	971
431	737	969
432	738	967
433	739	965
434	741	962
435	742	960
436	743	957
437	744	954
438	745	952
439	746	950
440	748	948
441	749	946
442	750	943
443	751	941
444	753	939
445	754	937
446	755	934
447	757	932
448	758	930
449	760	928
450	761	926
451	762	924
452	763	922
453	765	920
454	766	917
455	767	915
456	769	913
457	770	911
458	771	909
459	772	907
460	774	905
